instrument,harmo1,harmo2,harmo3
trumpet,-4.32,-14.157,-17.468
oboe,9.364,10.732,11.953
oboe,13.99,22.037,12.119
trumpet,-7.348,-17.367,-18.827
oboe,9.656,10.083,10.458
oboe,5.304,7.584,-4.417
oboe,12.552,11.146,5.538
oboe,6.642,12.106,17.807
flute,-20.337,-21.77,-23.675
flute,-17.948,-21.759,-23.867
flute,-16.2,-17.713,-22.49
flute,-24.459,-15.945,-24.403
oboe,14.314,16.744,7.18
oboe,16.985,21.024,12.685
oboe,7.35,13.531,16.567
flute,-15.401,-14.833,-23.52
oboe,14.597,11.95,22.164
oboe,12.559,19.078,12.893
oboe,0.621,9.867,-10.517
flute,-23.615,-17.418,-24.856
oboe,9.719,10.569,11.434
trumpet,-7.014,-20.149,-25.969
trumpet,-4.788,-13.868,-24.608
flute,-16.836,-20.0,-24.402
oboe,12.936,15.061,10.907
oboe,4.097,7.701,15.49
oboe,7.52,7.676,14.438
oboe,7.284,11.794,10.153
oboe,10.679,8.792,6.636
oboe,6.705,11.4,16.318
oboe,7.162,6.932,14.28
oboe,3.938,9.663,-1.72
oboe,3.756,12.877,4.4
flute,-24.944,-12.148,-18.686
trumpet,-3.277,-18.9,-19.419
trumpet,-6.172,-15.974,-14.198
flute,-17.558,-15.476,-25.054
flute,-22.737,-24.957,-23.552
oboe,-5.553,5.905,5.711
flute,-19.314,-20.293,-25.076
oboe,13.973,12.926,5.374
oboe,2.893,8.821,-2.281
trumpet,-5.692,-18.002,-18.445
oboe,1.93,8.845,-6.296
trumpet,-5.446,-17.676,-23.989
oboe,0.02,7.041,16.728
oboe,7.55,10.987,7.683
oboe,14.328,17.455,11.936
flute,-16.223,-24.112,-21.977
oboe,6.104,11.713,9.187
flute,-19.399,-16.244,-25.756
trumpet,-5.835,-22.396,-18.864
oboe,11.995,18.0,11.174
flute,-17.132,-13.864,-21.631
trumpet,-4.563,-21.734,-19.714
trumpet,-4.697,-14.355,-20.145
oboe,4.426,11.805,6.122
oboe,2.52,8.959,0.837
flute,-20.871,-16.039,-21.607
flute,-14.82,-14.837,-24.949
oboe,0.386,9.285,-4.889
oboe,8.195,10.198,9.181
oboe,7.468,10.682,10.177
oboe,8.948,11.317,11.821
oboe,14.579,16.493,10.439
oboe,12.322,18.787,13.28
oboe,6.07,1.548,14.261
trumpet,-4.027,-16.093,-23.898
oboe,7.513,11.19,17.921
oboe,10.705,14.768,20.555
oboe,6.656,4.544,8.375
flute,-16.511,-22.108,-23.541
flute,-18.268,-22.765,-22.608
flute,-15.684,-14.687,-23.968
oboe,10.014,15.143,20.209
oboe,9.664,14.286,19.319
oboe,7.51,5.256,11.862
oboe,17.303,21.459,12.85
flute,-19.97,-20.16,-23.067
oboe,14.699,17.72,12.032
oboe,14.123,14.942,8.668
oboe,10.549,8.43,3.986
oboe,11.088,9.518,5.573
oboe,12.713,15.342,11.25
flute,-17.635,-22.593,-25.811
oboe,7.06,10.188,16.015
trumpet,-7.232,-18.922,-16.549
oboe,6.036,10.035,14.838
oboe,11.69,9.589,4.176
trumpet,-7.889,-22.457,-19.83
oboe,7.671,11.683,10.448
oboe,3.393,9.756,-6.064
flute,-18.144,-20.032,-22.563
oboe,3.467,9.551,-4.411
oboe,7.722,8.847,0.404
oboe,7.169,12.518,7.992
oboe,8.687,11.213,9.515
oboe,14.345,16.231,10.124
oboe,6.101,10.316,14.413
oboe,2.985,8.984,-14.984
flute,-18.39,-18.858,-23.776
flute,-16.786,-17.629,-23.947
oboe,14.188,16.659,9.018
flute,-21.954,-17.121,-25.232
trumpet,-6.171,-22.729,-17.254
oboe,8.754,8.894,4.07
flute,-25.657,-16.642,-25.111
trumpet,-5.693,-14.151,-23.778
oboe,7.708,11.766,10.961
flute,-17.139,-12.967,-23.843
oboe,10.051,8.542,6.15
oboe,10.58,12.075,11.77
trumpet,-4.191,-20.976,-19.527
oboe,7.421,9.234,-0.063
oboe,6.963,8.382,-0.956
oboe,-2.658,6.032,3.52
oboe,14.314,14.481,7.181
oboe,6.711,11.52,9.354
oboe,13.097,11.003,3.256
oboe,-1.418,9.481,-8.653
trumpet,-9.187,-17.5,-17.697
